Company Name,Physical Address,Phone,FAX,Web,Business Description,NAICS,Employee(s),Annual Sales,Contact Person,Industry Description,Stock Exchange,Latitude,Longitude
LibertyxBitcoinATM,"3623CentralAveCharlotte,NC28205-5637",8005118940,,,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.216146,-80.783414
FrontierEnergyLLC,"RoaringRiver,NC28669-",3366962350,,,EnergyManagementSystems&Products,238220,2,"$191,000",,"Plumbing,Heating,andAir-ConditioningContractors",,36.207166,-81.003263
BGBPlumbing,"240GraysCreekChurchRdRutherfordton,NC28139-8442",8282455060,,,PlumbingHeating&AirConditioning,238220,1,"$93,000",BobbyBryant,"Plumbing,Heating,andAir-ConditioningContractors",,35.282509,-81.951
Gigi'sPlayhouseCharlotte,"9101KingsParadeBlvdCharlotte,NC28273-4617",9802019940,,GIGISPLAYHOUSE.ORG,CognitiveDisability-DevDisabilitySvcs,624310,57,,,VocationalRehabilitationServices,,35.138874,-80.930369
AspireTraining&Development,"168SMainStWaynesville,NC28786-4355",8282460957,,,TrainingConsultants,541612,2,"$252,000",,HumanResourcesConsultingServices,,35.487669,-82.989304
KatieBreezeHealdDDSPC,"679WFlemingDrMorganton,NC28655-4450",3154546000,,,Dentists,621210,9,"$1,402,000",KatieHeald,OfficesofDentists,,35.729601,-81.702723
WildBirdsUnlimited,"1211StateRoad16Denver,NC28037-",7040001111,,WBU.COM,Animal&BirdHousing,444240,2,"$450,000",AlexBreathauer,"Nursery,GardenCenter,andFarmSupplyRetailers",,35.447456,-80.995873
BlueRidgeConstr&Grading,"21CarrionLnCandler,NC28715-9183",8282426331,,BLUERIDGEGENERALCONTRACTORS.COM,Remodeling&RepairingBuildingContractors,236118,2,"$586,000",,ResidentialRemodelers,,35.534346,-82.686511
LibertyxBitcoinATM,"120Nc-16Denver,NC28207-",8005118940,,,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.199729,-80.82873
LibertyxBitcoinATM,"13845ConlanCirCharlotte,NC28277-2705",8005118940,,LIBERTYX.COM,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.055914,-80.851054
RoadrunnerMarket,"1980DellwoodRdWaynesville,NC28786-6204",8289265398,,GPMINVESTMENTS.COM,ConvenienceStores,445131,8,"$2,682,000",MelodyJames,ConvenienceRetailers,,35.528314,-82.998469
CentralPiedmontCommunityClg,"1201ElizabethAveCharlotte,NC28204-2297",7043302722,7043425045,SENSORIA.CPCC.EDU,Junior-CommunityCollege-TechInstitutes,611210,133,,KandiWDeitemeyer,JuniorColleges,,35.217402,-80.830508
StLuke'sHospital,"101HospitalDrColumbus,NC28722-6418",8288943311,8288945960,STLUKESNC.ORG,Hospitals,622110,270,"$29,778,000",MichelleFortune,GeneralMedicalandSurgicalHospitals,,35.239775,-82.212578
ADXMachineryLLC,"11010MonroeRd#CMatthews,NC28105-8518",7040001111,,ADXMACHINERY.COM,Machinery-New(whls),423830,2,"$2,014,000",,IndustrialMachineryandEquipmentMerchantWholesalers,,35.124144,-80.729934
AMESTapingTools,"800ClantonRd#BCharlotte,NC28217-1364",7045271632,,AMESTOOLS.COM,DryWallContractorsEquip/Supls(whls),423810,1,"$1,245,000",HectorRivera,ConstructionandMining(exceptOilWell)MachineryandEquipmentMerchantWholesalers,,35.199447,-80.883204
McewenIndustries,"3120NorthwestBlvdGastonia,NC28052-1167",7048657343,,MCEWENINDUSTRIES.COM,Manufacturers,339999,34,"$5,307,000",RobertMcewen,AllOtherMiscellaneousManufacturing,,35.279202,-81.219027
InventionsUnlimitedInc,"125TimberlineDrMaggieValley,NC28751-8729",8282765364,,,Inventors,541690,2,"$215,000",RoseMMelanson,OtherScientificandTechnicalConsultingServices,,35.510103,-83.075918
TrentBarkerElectric,"Traphill,NC28685-",3364520823,,,ElectricContractors,238210,2,"$191,000",TrentBarker,ElectricalContractorsandOtherWiringInstallationContractors,,36.34503,-81.02872
RenaissanceGlassInc,"2RenaissancePlLeicester,NC28748-",8286831479,8286832494,,Glass-Blowers(mfrs),327212,10,"$1,649,000",FrankTurri,OtherPressedandBlownGlassandGlasswareManufacturing,,35.650997,-82.693919
PolkBaptistAssocBlanton,"208BlantonStColumbus,NC28722-",8288943787,,,Associations,813910,2,,,BusinessAssociations,,35.260238,-82.150057
StMattewsPreschool,"201NPiedmontAveKingsMountain,NC28086-3030",7047397467,,,Schools-Pre-School/Kindergarten-Academic,624410,5,"$89,000",,ChildCareServices,,35.242725,-81.342819
Stott'sFordInc,"222NTradeStTryon,NC28782-3014",8288596627,8288592220,STOTTSFORD.COM,AutomobileDealers-NewCars,441110,35,"$13,991,000",HaroldNStott,NewCarDealers,,35.210669,-82.24076
BrownHavenHomes,"219MerrimonAveAsheville,NC28801-1225",8285759918,,BROWNHAVENHOMES.COM,HomeBuilders,236115,3,"$586,000",CoryDunning,NewSingle-FamilyHousingConstruction(exceptFor-SaleBuilders),,35.606895,-82.553082
PalmettoOxygenLLC,"2520WhitehallParkDr#950Charlotte,NC28273-3559",7048315000,,ADAPTHEALTH.COM,Oxygen-Medical(whls),423450,7,"$8,997,000",LukeMcgee,"Medical,Dental,andHospitalEquipmentandSuppliesMerchantWholesalers",,35.142393,-80.937345
AirportExpressLLC,"101MainAveWHildebran,NC28637-8308",8283977377,,,AirportServices,488119,55,"$3,655,000",,OtherAirportOperations,,35.709935,-81.424523
BiltmoreOil,"191AmboyRdAsheville,NC28806-4330",8282534591,8282547064,BILTMOREOIL.COM,Oils-Fuel(whls),424720,20,"$225,344,000",RickPerkins,PetroleumandPetroleumProductsMerchantWholesalers(exceptBulkStationsandTerminals),,35.56711,-82.571889
FoothillsRegionalAirport-Mrn,"3566FoothillsAirportRdMorganton,NC28655-7717",8287570099,,FOOTHILLSAIRPORT.COM,Airports,488119,7,"$466,000",BrentBrinkley,OtherAirportOperations,,35.81982,-81.61629
KaiserRealty,"900LydayLoopPisgahForest,NC28768-7923",8284210375,,,RealEstate,531210,2,"$198,000",JayKaiser,OfficesofRealEstateAgentsandBrokers,,35.275813,-82.653531
KruckenbergerBill,"3065USHighway64E#ASapphire,NC28774-8635",8285068398,,SAPPHIREVALLEYREALESTATE.COM,RealEstate,531210,1,"$121,000",BillKruckenberger,OfficesofRealEstateAgentsandBrokers,,35.126044,-83.055029
PepsiBeveragesCo,"152CommerceDrCherryville,NC28021-8905",7047362640,7047362651,PEPSICO.COM,Bottlers(mfrs),312111,70,"$89,946,000",PatrickGolden,SoftDrinkManufacturing,,35.390987,-81.340611
ForbesPreschoolCtr,"25SchoolStTryon,NC28782-2952",8288596584,,POLKSCHOOLS.ORG,Schools-Pre-School/Kindergarten-Academic,624410,8,"$90,000",ToddMurphy,ChildCareServices,,35.213085,-82.242001
OrthoFix,"15720JohnJDelaneyDrCharlotte,NC28277-",7049443205,,,Physicians&SurgeonsEquip&Supls-Whls,423450,8,"$10,282,000",,"Medical,Dental,andHospitalEquipmentandSuppliesMerchantWholesalers",,35.038015,-80.856185
IrishchemIndustriesInc,"1421EFranklinBlvdPmb157Gastonia,NC28054-4059",7040001111,,,Manufacturers,339999,23,"$4,215,000",PhilipIrish,AllOtherMiscellaneousManufacturing,,35.261699,-81.155201
MountainEnergy,"1611ChampionDrCanton,NC28716-6042",8286480886,,SHELL.COM,ConvenienceStores,445131,7,"$2,347,000",HeatherBurgess,ConvenienceRetailers,,35.553123,-82.851185
LibertyxBitcoinATM,"8220MtHollyHuntersvilleRdCharlotte,NC28216-9744",8005118940,,LIBERTYX.COM,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.345705,-80.885384
UnitedStatesPostalSvc,"291ToeRiverRdGreenMountain,NC28740-9267",8280001111,8286821143,USPS.COM,PostOffices,491110,6,,RandyClark,PostalService,,35.993952,-82.259272
DarrellBauguessHeating&Air,"2032ShepherdsCrossRdTraphill,NC28685-9005",3364520591,,,HeatingContractors,238220,2,"$191,000",LucyBauguess,"Plumbing,Heating,andAir-ConditioningContractors",,36.303121,-81.02902
ModernImpressionsInc,"5029WWTHarrisBlvd#BCharlotte,NC28269-1847",7045977278,7045974389,MODERNIMPRESSIONS.COM,Copying&DuplicatingMachines&Supls,423420,30,"$24,449,000",BobbyClanton,OfficeEquipmentMerchantWholesalers,,35.333243,-80.816625
CascadeMountainProperties,"9SWPackSqAsheville,NC28801-3513",8280001111,,,RealEstate,531210,3,"$376,000",,OfficesofRealEstateAgentsandBrokers,,35.594615,-82.551843
MorrisBusinessSolutionsLLC,"4111RoseLakeDr#ACharlotte,NC28217-2864",7042333093,,MORRISBUSINESS.COM,LaserPrinterSuppliesSvc-Repair(whls),423430,4,"$3,938,000",,ComputerandComputerPeripheralEquipmentandSoftwareMerchantWholesalers,,35.179933,-80.928849
B&RSvc,"512ElkinHwy#2NorthWilkesboro,NC28659-3466",3366679235,3366675569,,AirConditioningContractors&Systems,238220,24,"$2,292,000",DavidEBauguess,"Plumbing,Heating,andAir-ConditioningContractors",,36.182983,-81.131506
WataugaCountyFarmersMktInc,"591HornIntheWestDrBoone,NC28607-4283",8287733677,8282643067,WATAUGACOUNTYFARMERSMARKET.ORG,FarmMarkets,445230,7,"$990,000",MattCooper,FruitandVegetableRetailers,,36.209952,-81.670427
GorumExpertAdvisoryLLC,"206CharlieWardRdBannerElk,NC28604-9289",4430001111,,,Administrative&GeneralManagementConsultin,541611,3,"$247,000",,AdministrativeManagementandGeneralManagementConsultingServices,,36.180784,-81.809426
MedshiftLLC,"328WCarsonBlvdCharlotte,NC28203-4071",8009800522,,STORE.MEDSHIFT.COM,MedicalImagingEquip&Systems(whls),423450,9,"$11,567,000",ElizabethAshe,"Medical,Dental,andHospitalEquipmentandSuppliesMerchantWholesalers",,35.22246,-80.854393
NormaClaytonRealtyCo,"262SCaldwellStBrevard,NC28712-3604",8288843668,,BREVARDREALTY.NET,RealEstate,531210,3,"$297,000",NormaClayton,OfficesofRealEstateAgentsandBrokers,,35.231077,-82.737859
UnitedCommunityBank,"291EUS19EBurnsville,NC28714-",8286829992,8286821295,UCBI.COM,Banks,522110,8,"$1,119,000",PattiPeterson,CommercialBanking,,35.917232,-82.32441
TriCityPavingInc,"150ECourtStRutherfordton,NC28139-2982",8282872663,,TRICITYPAVINGINC.COM,PavingContractors,237310,8,"$931,000",ForestKoone,"Highway,Street,andBridgeConstruction",,35.366551,-81.955674
UniqueKidsChildDevmntCtr,"1424UnionChurchRdLawndale,NC28090-9041",7044808026,,,ChildCareService,624410,5,"$89,000",SharonCrank,ChildCareServices,,35.39023,-81.61472
FirstBaptistChrChildDevmnt,"120NLafayetteStShelby,NC28150-4456",7044823460,7044821137,FBCSHELBY.ORG,ChildCareService,624410,24,"$424,000",PennyCorn,ChildCareServices,,35.293044,-81.539799
DukeLandManagementLLC,"334HollySpringsDrMillsRiver,NC28759-6608",8280001111,,,RealEstateManagement,531210,2,"$182,000",SeanLeduc,OfficesofRealEstateAgentsandBrokers,,35.346064,-82.606981
HughesRealtyEnterprisesLLC,"83OvercrestCirBrevard,NC28712-9332",8280001111,,,RealEstateManagement,531210,2,"$198,000",JeffreyHLorch,OfficesofRealEstateAgentsandBrokers,,35.181892,-82.767232
ChildCareAcademy,"Shelby,NC28150-",7044192377,,HIGHERLEARNINGCHILDCARE.COM,ChildCareService,624410,6,"$106,000",,ChildCareServices,,35.295985,-81.538205
BlossmanPropaneGas&Appl,"170SweetenCreekRdAsheville,NC28803-1526",8286670437,8286654202,BLOSSMANGAS.COM,Gas-LiquefiedPetro-Bttld/Bulk(whls),424720,20,"$225,344,000",DavidLipe,PetroleumandPetroleumProductsMerchantWholesalers(exceptBulkStationsandTerminals),,35.548624,-82.520495
WillowHillSoapCo,"80ParkStCanton,NC28716-4322",8284920626,,WILLOWHILLSOAPCOMPANY.COM,Soaps&Detergents-Manufacturers,325611,4,"$3,198,000",,SoapandOtherDetergentManufacturing,,35.532913,-82.838623
MotionImagingCorp,"354CromptonStCharlotte,NC28273-6214",7045832117,,,HospitalEquipment&Supplies(whls),423450,2,"$2,571,000",BillSpinelli,"Medical,Dental,andHospitalEquipmentandSuppliesMerchantWholesalers",,35.117509,-80.914952
Sudderth&WhitakerDDSPA,"300SanfordDrMorganton,NC28655-2573",8284331600,8284334449,WHITAKERDENTALASSOCIATES.COM,Dentists,621210,12,"$1,869,000",NatalieWhitaker,OfficesofDentists,,35.747227,-81.703153
Bolin'sDaycare,"901RamseurStKingsMountain,NC28086-2051",7047397715,,,ChildCareService,624410,8,"$142,000",JeffreyWBolin,ChildCareServices,,35.25475,-81.34112
NardiDiagnosticsLLC,"914AndersonStCharlotte,NC28205-1214",7040001111,,,Medical/Dental/HospitalEqpt&Supl(whls),423450,6,"$7,711,000",,"Medical,Dental,andHospitalEquipmentandSuppliesMerchantWholesalers",,35.245607,-80.794658
AllKScruggsHtg&AirCond,"1200FerryRdMooresboro,NC28114-8648",8286570087,,AMERICANSTANDARDAIR.COM,AirConditioningContractors&Systems,238220,4,"$369,000",KeithScruggs,"Plumbing,Heating,andAir-ConditioningContractors",,35.241715,-81.820378
CarolinaComfortHeating&Air,"2628RiverRdLibertyGroveRdNorthWilkesboro,NC28659-7315",3369735342,3369735015,CAROLINACOMFORTSERVICE.COM,HeatingContractors,238220,16,"$1,528,000",NolanEller,"Plumbing,Heating,andAir-ConditioningContractors",,36.177943,-81.100539
Wheels-N-Deals,"4702StateHighway80SBurnsville,NC28714-7530",8286759945,,,Automobile/TrucksDealers-Used,441120,2,"$486,000",JuniorMcintyre,UsedCarDealers,,35.848958,-82.197889
GraceFuelCo,"110NWoodfinAveAsheville,NC28804-",8282526401,8282512925,GRACEFUEL.COM,Oils-Fuel(whls),424720,10,"$112,672,000",WayneMichael,PetroleumandPetroleumProductsMerchantWholesalers(exceptBulkStationsandTerminals),,35.664505,-82.575203
AdamsDistributingCo,"Charlotte,NC28213-",7045971702,,,ChiropractorsEquipment&Supply(whls),423850,5,"$4,104,000",SteveAdams,ServiceEstablishmentEquipmentandSuppliesMerchantWholesalers,,35.275026,-80.768684
FirstCitizensBank,"160WMillsStColumbus,NC28722-9422",8288942556,9848673366,FIRSTCITIZENS.COM,Banks,522110,5,"$804,000",BrianJones,CommercialBanking,,35.249816,-82.202479
Piedmont&NorthernRailway,"1548UnionRdGastonia,NC28054-5530",7048680018,,PATRIOTRAIL.COM,Railroads,482111,13,"$1,884,000",,Line-HaulRailroads,,35.242779,-81.170171
CityServiceAutomotive,"6234thStSW#2Hickory,NC28602-2842",8282440278,,,AutomobileRepairing&Service,811111,3,"$253,000",PhillipStarnes,GeneralAutomotiveRepair,,35.725262,-81.343898
CharlotteJuiceCo,"241TreetopsDrStanley,NC28164-6850",7040001111,,,Juices-Retail,445230,2,"$226,000",JosephPCohen,FruitandVegetableRetailers,,35.441169,-80.975571
StateEmployees'CreditUnion,"74WeaverStColumbus,NC28722-0466",8288940557,8288943088,NCSECU.ORG,CreditUnions,522130,9,"$1,162,000",LindaHarris,CreditUnions,,35.25137,-82.194815
DavidAPanzerDDSPLLC,"343SanfordDrMorganton,NC28655-2555",8284304500,8284307400,,Dentists,621210,12,"$1,869,000",DavidAPanzer,OfficesofDentists,,35.748245,-81.705022
AllstateFinancialSvc,"479NGeneralsBlvd#ALincolnton,NC28092-3559",7044870496,7044849606,ALLSTATE.COM,FinancialAdvisoryServices,523940,5,"$1,426,000",AlanCarpenter,PortfolioManagementandInvestmentAdvice,,35.490228,-81.245746
DaoistTraditionsClg-Chinese,"406MontfordAveAsheville,NC28801-1015",8282525438,,DAOISTTRADITIONS.EDU,AcupunctureSchools,611519,5,,,OtherTechnicalandTradeSchools,,35.606851,-82.569278
B&BHoseDoctor,"13000STryonStCharlotte,NC28278-7603",7044884588,,,Hose(whls),423840,9,"$10,911,000",,IndustrialSuppliesMerchantWholesalers,,35.103265,-80.990864
CentralPiedmontCommunityClg,"100NKingsDrCharlotte,NC28204-",7043306964,,,Junior-CommunityCollege-TechInstitutes,611210,30,,JeffHill,JuniorColleges,,35.22017,-80.818712
LittleCreekPropertiesLLC,"839LittleCreekRdHendersonville,NC28792-7883",8280001111,,,RealEstateManagement,531210,2,"$182,000",DonnaHuntley,OfficesofRealEstateAgentsandBrokers,,35.401708,-82.286851
LibertyxBitcoinATM,"2017BeattiesFordRdCharlotte,NC28216-4500",8005118940,,LIBERTYX.COM,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.262476,-80.85512
ARCGroup,"10955WithersCoveParkDrCharlotte,NC28278-0020",7045881809,,,MiscIndstrlEquip&SuplsNEC(whls),423830,50,"$50,328,000",JoHaigler,IndustrialMachineryandEquipmentMerchantWholesalers,,35.138169,-80.982615
GoodwillConstructionSkills,"1335AlleghanyStCharlotte,NC28208-0807",7043723434,,GOODWILLSP.ORG,EmploymentTrainingService,624310,7,,,VocationalRehabilitationServices,,35.237618,-80.892059
BurnsvillePoliceDept,"2TownSqBurnsville,NC28714-2933",8286824683,,TOWNOFBURNSVILLE.ORG,PoliceDepartments,922120,9,,BrianBuchanan,PoliceProtection,,35.91699,-82.300529
AmericanVanLines,"Charlotte,NC28202-",7047804200,,NORTHAMERICAN.COM,Movers,484110,5,"$666,000",,"GeneralFreightTrucking,Local",,35.227415,-80.839255
CurtisWalkerHtg&AirCond,"191HomersWayLnMoravianFalls,NC28654-7724",3368387660,,CURTISWALKERHVAC.COM,AirConditioningContractors&Systems,238220,2,"$191,000",,"Plumbing,Heating,andAir-ConditioningContractors",,36.095334,-81.183085
LibertyxBitcoinATM,"3440WilkinsonBlvdCharlotte,NC28208-5634",8005118940,,LIBERTYX.COM,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.225077,-80.898358
ABTech,"303AirportRdArden,NC28704-8402",8283987900,,ABTECH.EDU,Junior-CommunityCollege-TechInstitutes,611210,8,,,JuniorColleges,,35.450129,-82.526921
GreenRiverTavernLLC,"155WMillsSt#101Columbus,NC28722-9426",8280001111,,GREENRIVERTAVERN20.COM,Bars,722410,2,"$77,000",AnthonyLambeJr,DrinkingPlaces(AlcoholicBeverages),,35.249346,-82.201436
AtlanticEmergencySolutions,"6809StatesvilleRdCharlotte,NC28269-1793",7049691900,,ATLANTICEMERGENCY.COM,FireDepartmentEquipment&Supls(whls),423850,3,"$2,463,000",TimHykes,ServiceEstablishmentEquipmentandSuppliesMerchantWholesalers,,35.314128,-80.841002
Rautee'sEducationofDevis,"314AppalachianDrBoone,NC28607-4307",8280001111,,EDUCATIONFORGIRLSEMPOWERMENT.ORG,EducationalService-Business,611710,2,,ChristineSDav,EducationalSupportServices,,36.21568,-81.661694
ReddyIce,"2306LowellRdGastonia,NC28054-3407",7048244611,7048244254,REDDYICE.COM,Ice-Manufacturers,312113,25,"$5,346,000",BobJoyner,IceManufacturing,,35.279518,-81.133055
CentralPiedmontCommunityClg,"3210CpccHarrisCampusDrCharlotte,NC28208-5053",7043304644,,,Junior-CommunityCollege-TechInstitutes,611210,34,,HowardByrd,JuniorColleges,,35.215855,-80.919332
DrMagnotta&AssocDentistry,"801WFlemingDrMorganton,NC28655-4236",8284303264,8284385344,,Dentists,621210,6,"$935,000",CrystalHHarris,OfficesofDentists,,35.732369,-81.707298
McBrideAutomationConsulting,"1815CampBranchRdWaynesville,NC28786-4797",8280001111,,,AutomationConsultants,541690,2,"$252,000",RaganMcbride,OtherScientificandTechnicalConsultingServices,,35.449565,-82.97761
AppalachianRegionalRhmtlgy,"166BDoctorsDrBoone,NC28607-5000",8282635506,8282638726,APPRHS.ORG,Physicians&Surgeons,621111,5,"$868,000",,OfficesofPhysicians(exceptMentalHealthSpecialists),,36.198298,-81.653781
MainStreetMarketing,"324Highway105ExtBoone,NC28607-6242",8282630095,,HIGHCOUNTRY365.COM,MarketingPrograms&Services,541613,6,"$494,000",BenCox,MarketingConsultingServices,,36.213047,-81.668635
StudioKDanceWorkshop,"289DanielBooneDrBoone,NC28607-5488",8282654111,,STUDIOKDANCER.COM,DancingInstruction,611610,1,"$19,000",KayHarkins,FineArtsSchools,,36.218074,-81.6577
AhtServicesGroupLLC,"10616BaileyRd#FCornelius,NC28031-9362",7040001111,,ALTERNATIVEHANDLINGTECH.COM,Machinery-Rebuilding&Repairing(whls),423830,3,"$3,020,000",JasonWong,IndustrialMachineryandEquipmentMerchantWholesalers,,35.458279,-80.855125
Burchette&BurchetteHardwood,"196AustinTraphillRdElkin,NC28621-2554",3368356409,,REALHARDWOODFLOORS.COM,FloorLayingRefinishing&Resurfacing,238330,50,"$4,774,000",RonaldBurchette,FlooringContractors,,36.252686,-80.877878
Boyer'sPort-A-John,"2149JacksCreekRdBurnsville,NC28714-5243",8286823353,,,Toilets-Portable,562991,2,"$150,000",RobbieBoyer,SepticTankandRelatedServices,,35.934784,-82.344799
NorthwesternStudios,"1474Highway105Boone,NC28607-4650",8282623262,,NORTHWESTERN-STUDIOS.COM,DancingInstruction,611610,4,"$73,000",HollyRoark,FineArtsSchools,,36.202481,-81.678324
AceMovers,"1003LouiseAveCharlotte,NC28205-3256",7048386042,,ACEMOVERSNC.COM,Movers,484110,8,"$1,065,000",HeatherGilreath,"GeneralFreightTrucking,Local",,35.225144,-80.82026
FedexOfficePrint&ShipCtr,"135TownCenterLoopWaynesville,NC28786-6871",8284527154,8284527156,FEDEX.COM,Mailing&ShippingServices,541860,5,"$629,000",,DirectMailAdvertising,,35.466466,-83.00925
AscendumMachineryInc,"16810KentonDr#300Huntersville,NC28078-4845",7044948100,7044948198,ASCENDUMMACHINERY.COM,ConstructionMachinery(whls),423810,300,"$373,230,000",KristinParker,ConstructionandMining(exceptOilWell)MachineryandEquipmentMerchantWholesalers,,35.44481,-80.890038
CentralPiedmontCommClg,"315WHebronStCharlotte,NC28273-4304",7043304400,,CPCC.EDU,Junior-CommunityCollege-TechInstitutes,611210,21,,JosephPaulter,JuniorColleges,,35.12965,-80.895616
UnitedMusicEnterprises,"99HazelviewDrWaynesville,NC28786-1941",8284522552,,,ConsultingServices,541611,1,"$133,000",RobertBuckner,AdministrativeManagementandGeneralManagementConsultingServices,,35.482957,-83.000117
DayInternational,"25OldShoalsRdArden,NC28704-9010",8286874365,,FLINTGRP.COM,PrintingEquipment-Manufacturers,333248,28,"$3,590,000",KelvinHam,AllOtherIndustrialMachineryManufacturing,,35.46172,-82.520553
AllMySonsMoving&Storage,"9930IndustrialDrPineville,NC28134-6513",7046669578,,ALLMYSONS.COM,Movers,484110,32,"$4,260,000",RussellEhrmann,"GeneralFreightTrucking,Local",,35.100516,-80.891715
JamieGibson-MtgLoanOfficer,"936STradeStTryon,NC28782-3722",4048622715,,,Loans,522291,,,,ConsumerLending,,35.197821,-82.23165
AdvantageMoving&Storage,"13030SteelecroftPkwyCharlotte,NC28278-7519",7047278380,,,Movers,484110,8,"$1,065,000",KimberlyRojas,"GeneralFreightTrucking,Local",,35.104953,-80.99099
LibertyxBitcoinATM,"14125SteeleCreekRdCharlotte,NC28273-3968",8005118940,,LIBERTYX.COM,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.102381,-80.98756
CarolinaStrapping,"2740WFranklinBlvdGastonia,NC28052-9480",7043490000,7048671377,CAROLINASTRAPPING.COM,PackagingMaterials-Wholesale,424130,125,"$172,046,000",LeeCornwell,IndustrialandPersonalServicePaperMerchantWholesalers,,35.26021,-81.232453
DynamicBody,"175FrankMastRdBannerElk,NC28604-8530",5415108487,,THEDYNAMICBODY.ORG,YogaInstruction,611699,2,"$155,000",TaylorDrouet,AllOtherMiscellaneousSchoolsandInstruction,,36.208122,-81.776671
YanceyCountyCourthouse,"110TownSq#5Burnsville,NC28714-2964",8286785700,,NCCOURTS.GOV,CountyGovernment-Courts,922110,9,,,Courts,,35.916751,-82.298379
AppalachianInternalMedicine,"108DoctorsDrBoone,NC28607-5000",8282623886,,APPRHS.ORG,Physicians&Surgeons,621111,5,"$694,000",CharlieLSykes,OfficesofPhysicians(exceptMentalHealthSpecialists),,36.198304,-81.655067
YorkChesterBrewingCoLLC,"213W5thAveGastonia,NC28052-4084",7040001111,,,Brewers(mfrs),312120,5,"$7,440,000",JarvisDRoberts,Breweries,,35.255905,-81.184927
IsFinancialMGNT,"9191NNc10HwyVale,NC28168-",7042761069,,,FinancialAdvisoryServices,523940,2,"$571,000",,PortfolioManagementandInvestmentAdvice,,35.503715,-81.456617
TurningPointSvc,"367DellwoodRd#A1Waynesville,NC28786-3136",8284527832,,TURNINGPOINTSERVICESINC.COM,HumanResourceConsultants,541612,60,"$7,926,000",ChrisBrittain,HumanResourcesConsultingServices,,35.517577,-82.974307
CentralPiedmontCmntyClg,"11930VerhoeffDrHuntersville,NC28078-9014",7043304100,,CPCC.EDU,Junior-CommunityCollege-TechInstitutes,611210,50,,TamaraWilliams,JuniorColleges,,35.39282,-80.840553
"AllenJrJosephE,MD","2640Highway105#102Boone,NC28607-7828",8283222050,8283450522,GRAYSTONE-EYE.COM,Physicians&Surgeons,621111,1,"$174,000",JosephEAllenJr,OfficesofPhysicians(exceptMentalHealthSpecialists),,36.206603,-81.697359
AmandaStevensFNP-C,"375Highway105Ext#1Boone,NC28607-6225",8282668941,8288328038,BLUERIDGEBUPRECOVERY.COM,Physicians&Surgeons,621111,16,"$2,255,000",,OfficesofPhysicians(exceptMentalHealthSpecialists),,36.212524,-81.668246
Amco-AmericanMoisteningCo,"10402RodneyStPineville,NC28134-8832",7048897281,,AMCO.COM,MiscIndstrlEquip&SuplsNEC(whls),423830,8,"$8,053,000",TimBrock,IndustrialMachineryandEquipmentMerchantWholesalers,,35.09712,-80.888005
AmericanVanLines,"878HawthorneLnCharlotte,NC28204-",7042300825,,AMERICANVANLINES.COM,Movers,484110,4,"$533,000",,"GeneralFreightTrucking,Local",,35.22017,-80.818712
FaithfulHeritageHoldingsInc,"2858EHighway150Lincolnton,NC28092-7614",7042404500,,,HoldingCompanies(non-Bank),551112,3,"$1,440,000",,OfficesofOtherHoldingCompanies,,35.494623,-81.192765
CentralPiedmontCommunityClg,"2800CampusRidgeRdMatthews,NC28105-4859",7043304223,,CPCC.EDU,Junior-CommunityCollege-TechInstitutes,611210,150,,SteveBrennan,JuniorColleges,,35.106539,-80.693916
WorkWellHydrationSystems,"1680GarfieldDrGastonia,NC28052-8403",7048537788,,WORKWELLHS.COM,Ice-Manufacturers,312113,5,"$1,070,000",,IceManufacturing,,35.286164,-81.226883
LibertyxBitcoinATM,"5430NTryonStCharlotte,NC28213-7128",8005118940,,LIBERTYX.COM,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.260204,-80.773923
WizardSigns,"Gastonia,NC28052-",7044608468,,,Signs(mfrs),339950,2,"$254,000",,SignManufacturing,,35.263055,-81.1857
Aim2PleaseTrnsprtnInc,"5009BeattiesFordRd#204Charlotte,NC28216-2859",7046051578,,,Trucking-ContractHauling,484110,4,"$560,000",CharlesSmith,"GeneralFreightTrucking,Local",,35.303425,-80.857778
MilesAdairRealEstateLLC,"1126KilpatrickRdHendersonville,NC28739-9734",8280001111,,,RealEstateManagement,531210,2,"$182,000",MilesAdair,OfficesofRealEstateAgentsandBrokers,,35.327431,-82.538447
Space@ProjectDance,"2743Nc-105#CBoone,NC28607-",8282634823,,THESPACEATPROJECTDANCE.COM,FineArtsSchools,611610,2,"$37,000",,FineArtsSchools,,36.200895,-81.661437
Children'sPlayhouse,"400TracyCirBoone,NC28607-3846",8282630011,,GOPLAYHOUSE.ORG,EducationCenters,611710,2,,KathyParham,EducationalSupportServices,,36.216999,-81.669723
